COSMIC_ID,CELL_LINE_NAME,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,LN_IC50,AUC
910704,AU565,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,1.704486,0.8326159999999999
910852,CAL-85-1,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,4.387535,0.961223
910910,UACC-812,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,1.806948,0.807867
910927,CAL-51,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,2.686041,0.888698
910948,MFM-223,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,1.489608,0.7586609999999999
924106,CAL-148,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,-0.411985,0.596627
924240,MDA-MB-415,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,-0.244861,0.620143
925338,MDA-MB-157,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,4.392143,0.965212
946359,BT-474,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,2.096303,0.8153779999999999
946382,CAMA-1,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,1.1800469999999998,0.78131
949093,BT-483,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,5.574369,0.92208
1240172,MDA-MB-436,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,4.704935,0.957098
1290798,EFM-192A,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,2.570283,0.878315
1290905,HCC1428,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,5.872305,0.962982
1290906,HCC202,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,1.584328,0.835556
1290922,HDQ-P1,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,3.384292,0.919322
1298157,JIMT-1,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,3.413168,0.9403
1303900,HCC1500,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,5.356452,0.988173
1303911,YMB-1-E,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,-1.146745,0.500517
1330941,MDA-MB-330,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,1.610183,0.786921
749709,HCC1954,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,-0.546181,0.933455
749710,HCC1143,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,-2.696962,0.73593
749711,HCC1187,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,1.501885,0.986693
749712,HCC1395,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,-1.368371,0.858618
749713,HCC1599,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,-1.10293,0.8627199999999999
749714,HCC1937,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,0.460341,0.937708
749715,HCC2157,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,-2.897795,0.753308
749716,HCC2218,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,1.245655,0.987336
749717,HCC38,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,0.0280529999999999,0.926088
905945,T47D,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,-1.634055,0.8468209999999999
905946,MCF7,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,0.474985,0.936191
905951,BT-549,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,-2.2248159999999997,0.768249
905957,Hs-578-T,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,-2.273762,0.781212
905960,MDA-MB-231,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,-2.033373,0.8196049999999999
906801,BT-20,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,-1.459358,0.890157
906812,COLO-824,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,-1.819681,0.831859
906826,CAL-120,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,-3.10357,0.6596639999999999
906844,DU-4475,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,-1.864883,0.881135
906851,EFM-19,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,-1.001749,0.8761749999999999
906862,EVSA-T,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,-3.297882,0.7045009999999999
907045,HCC1419,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,-0.321582,0.942811
907046,HCC1569,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,-1.527158,0.856163
